,Transcript_Num,pred_1,pred_2,pred_3
185,185,confident down,unconfident down,unconfident down
186,186,confident up,confident up,unconfident down
187,187,unconfident up,confident up,confident up
188,188,confident up,confident up,confident up
189,189,confident up,confident up,confident up
190,190,confident up,confident up,confident up
191,191,confident up,confident up,unconfident up
192,192,confident down,confident down,confident down
193,193,confident up,unconfident down,unconfident up
194,194,unconfident up,confident down,unconfident down
195,195,confident up,unconfident up,confident up
196,196,unconfident down,confident up,confident up
197,197,confident down,confident down,unconfident down
198,198,unconfident down,confident up,unconfident down
199,199,confident up,confident up,confident up
200,200,confident up,unconfident down,unconfident up
201,201,unconfident up,unconfident up,confident up
202,202,confident up,unconfident up,unconfident up
203,203,unconfident up,unconfident down,unconfident down
204,204,unconfident up,unconfident up,confident up
205,205,confident up,unconfident up,confident up
206,206,unconfident down,unconfident down,confident down
207,207,confident up,confident up,unconfident down
208,208,unconfident down,unconfident down,unconfident up
209,209,confident up,unconfident up,confident up
210,210,confident up,unconfident down,unconfident up
211,211,confident up,confident up,confident up
212,212,unconfident up,unconfident down,unconfident up
213,213,unconfident down,confident down,unconfident down
214,214,unconfident down,confident up,confident up
215,215,confident up,confident up,confident up
216,216,unconfident up,unconfident down,unconfident down
217,217,unconfident up,unconfident down,confident up
218,218,confident up,confident up,unconfident down
219,219,confident up,unconfident up,confident up
220,220,unconfident down,unconfident down,unconfident up
221,221,confident up,unconfident down,unconfident up
222,222,unconfident down,unconfident down,confident up
223,223,unconfident up,unconfident down,unconfident down
224,224,unconfident down,confident up,unconfident up
225,225,confident up,confident up,confident up
226,226,unconfident up,confident down,unconfident up
227,227,confident down,confident down,confident down
228,228,unconfident up,confident up,unconfident up
229,229,confident up,unconfident up,confident up
230,230,unconfident down,unconfident down,unconfident down
231,231,confident up,confident up,unconfident down
232,232,"unconfident up 

",unconfident down,unconfident down
233,233,confident up,confident down,unconfident up
234,234,unconfident up,confident up,unconfident up
235,235,confident up,confident up,unconfident up
236,236,confident down,unconfident down,confident down
237,237,unconfident up,unconfident up,unconfident down
238,238,unconfident down,unconfident up,confident down
239,239,unconfident down,unconfident down,confident up
240,240,confident up,confident up,unconfident up
241,241,confident up,confident up,confident up
242,242,unconfident up,confident up,unconfident up
243,243,confident down,confident up,unconfident down
244,244,confident up,unconfident up,confident up
245,245,confident down,unconfident up,unconfident down
246,246,unconfident up,confident up,unconfident down
247,247,confident up,unconfident down,unconfident up
248,248,"unconfident up

",confident up,"unconfident up

"
249,249,unconfident down,unconfident up,unconfident up
250,250,confident up,unconfident up,unconfident up
251,251,unconfident down,confident up,unconfident down
252,252,confident up,confident up,unconfident down
253,253,unconfident down,confident down,unconfident up
254,254,unconfident up,unconfident up,unconfident down
255,255,confident down,confident up,confident down
256,256,confident down,unconfident down,unconfident down
257,257,confident down,confident up,unconfident down
258,258,confident up,unconfident down,confident up
259,259,unconfident up,confident up,unconfident up
260,260,unconfident up,unconfident up,unconfident up
261,261,confident up,unconfident up,confident up
262,262,unconfident up,unconfident up,unconfident down
263,263,confident up,unconfident up,unconfident up
264,264,unconfident up,unconfident down,unconfident up
265,265,unconfident down,unconfident down,unconfident down
266,266,unconfident up,confident up,unconfident up
267,267,unconfident down,unconfident up,unconfident up
268,268,confident up,confident up,confident up
269,269,confident up,confident up,confident up
270,270,confident up,unconfident down,confident up
271,271,confident up,unconfident up,confident up
272,272,unconfident up,unconfident down,unconfident down
273,273,unconfident up,unconfident down,confident up
274,274,confident down,confident down,confident down
275,275,unconfident down,confident down,confident up
276,276,confident up,unconfident up,confident up
277,277,confident up,unconfident up,confident up
278,278,confident up,unconfident up,unconfident down
279,279,confident up,unconfident up,unconfident up
280,280,unconfident down,unconfident down,unconfident up
281,281,confident down,unconfident down,unconfident up
282,282,unconfident down,unconfident down,unconfident down
283,283,confident up,unconfident down,unconfident up
284,284,confident up,confident up,confident up
285,285,confident down,unconfident down,confident down
286,286,unconfident up,confident up,confident up
287,287,unconfident down,confident up,unconfident up
288,288,confident down,unconfident down,unconfident up
289,289,unconfident down,unconfident down,confident down
290,290,unconfident up,unconfident up,confident up
291,291,confident up,unconfident up,unconfident down
292,292,confident up,confident up,confident up
293,293,confident up,confident up,confident up
294,294,unconfident up,unconfident up,unconfident down
295,295,unconfident up,confident up,unconfident up
296,296,unconfident down,unconfident down,unconfident up
297,297,confident down,unconfident down,unconfident down
298,298,confident down,unconfident down,unconfident down
299,299,unconfident up,unconfident down,unconfident down
300,300,unconfident down,unconfident down,confident down
301,301,confident up,confident up,confident up
302,302,unconfident down,unconfident down,confident up
303,303,unconfident down,unconfident down,unconfident down
304,304,unconfident down,confident up,unconfident down
305,305,unconfident down,confident down,unconfident down
306,306,unconfident down,confident up,unconfident down
307,307,confident up,unconfident up,confident up
308,308,unconfident up,unconfident up,unconfident down
309,309,unconfident up,unconfident up,unconfident down
310,310,unconfident up,unconfident down,unconfident down
311,311,unconfident down,unconfident up,unconfident up
312,312,unconfident down,unconfident up,unconfident up
313,313,unconfident up,confident up,unconfident down
314,314,confident up,confident down,confident down
315,315,confident up,unconfident down,unconfident down
316,316,confident down,confident down,unconfident down
317,317,confident up,unconfident down,confident up
318,318,confident down,unconfident up,unconfident up
319,319,confident up,confident up,confident up
320,320,unconfident up,confident up,confident up
321,321,confident up,unconfident up,confident up
322,322,unconfident down,unconfident up,unconfident up
323,323,unconfident up,confident up,confident up
324,324,confident up,confident up,unconfident up
325,325,confident up,confident up,confident up
326,326,confident down,unconfident down,unconfident down
327,327,unconfident down,unconfident down,unconfident down
328,328,unconfident down,confident up,unconfident down
329,329,unconfident up,unconfident down,unconfident down
330,330,confident up,unconfident up,confident up
331,331,unconfident up,confident up,unconfident up
332,332,unconfident up,unconfident up,confident up
333,333,confident down,confident up,unconfident up
334,334,unconfident down,confident up,confident up
335,335,confident up,confident up,confident up
336,336,confident up,unconfident up,unconfident up
337,337,confident up,unconfident up,unconfident up
338,338,unconfident up,unconfident down,confident up
339,339,unconfident down,unconfident down,unconfident down
340,340,unconfident up,unconfident up,confident up
341,341,unconfident down,unconfident down,confident down
342,342,unconfident down,unconfident up,unconfident up
343,343,unconfident down,unconfident down,unconfident up
344,344,unconfident down,confident down,confident down
345,345,confident up,unconfident up,unconfident up
346,346,unconfident up,confident up,confident up
347,347,confident up,confident up,confident up
348,348,confident up,confident up,confident up
349,349,confident up,confident up,unconfident up
350,350,unconfident up,unconfident up,unconfident up
351,351,confident up,unconfident up,confident up
352,352,unconfident up,confident up,unconfident down
353,353,confident up,unconfident up,confident up
354,354,unconfident down,unconfident down,confident up
355,355,confident up,unconfident up,unconfident down
356,356,unconfident down,confident down,unconfident down
357,357,confident down,unconfident down,confident down
358,358,confident up,confident down,unconfident up
359,359,unconfident up,unconfident down,unconfident up
360,360,confident up,confident down,confident up
361,361,unconfident down,unconfident up,confident up
362,362,confident up,unconfident up,unconfident up
363,363,unconfident up,confident down,unconfident up
364,364,confident up,confident up,unconfident down
365,365,unconfident up,unconfident down,unconfident up
366,366,unconfident down,confident up,unconfident up
367,367,unconfident down,confident down,unconfident down
368,368,confident up,confident up,confident up
369,369,unconfident up,unconfident down,unconfident down
370,370,confident up,confident up,confident up
371,371,unconfident up,unconfident up,unconfident down
372,372,unconfident up,unconfident down,unconfident down
373,373,unconfident up,confident up,unconfident down
374,374,unconfident up,confident up,unconfident up
375,375,confident up,confident up,confident up
376,376,confident up,confident up,confident up
377,377,unconfident down,unconfident up,confident up
378,378,unconfident up,unconfident down,unconfident down
379,379,unconfident up,unconfident down,confident up
380,380,confident down,unconfident down,unconfident up
381,381,unconfident up,confident up,unconfident up
382,382,confident up,confident up,unconfident up
383,383,confident up,confident up,confident up
384,384,unconfident up,confident up,confident up
385,385,unconfident up,unconfident down,confident down
386,386,unconfident down,unconfident up,unconfident down
387,387,unconfident up,confident down,confident up
388,388,unconfident up,confident up,confident up
389,389,unconfident down,unconfident down,unconfident down
390,390,confident up,unconfident up,confident up
391,391,unconfident down,confident up,unconfident down
392,392,unconfident down,confident up,unconfident up
393,393,confident up,unconfident up,confident up
394,394,unconfident down,unconfident up,unconfident up
395,395,confident up,confident up,confident up
396,396,unconfident up,unconfident up,unconfident up
397,397,unconfident down,unconfident up,unconfident down
398,398,confident down,unconfident up,confident down
399,399,unconfident up,confident up,unconfident up
400,400,confident down,unconfident up,confident down
401,401,unconfident up,unconfident up,unconfident up
402,402,confident up,unconfident up,unconfident down
403,403,unconfident down,unconfident up,confident up
404,404,unconfident up,unconfident up,unconfident down
405,405,unconfident down,unconfident down,unconfident up
406,406,confident up,unconfident up,confident up
407,407,confident up,confident up,unconfident up
408,408,confident up,confident up,confident up
409,409,confident up,confident up,unconfident down
410,410,confident up,confident up,confident up
411,411,confident up,unconfident down,confident up
412,412,unconfident down,unconfident up,confident up
413,413,unconfident down,unconfident down,confident up
414,414,confident up,unconfident down,unconfident down
415,415,unconfident up,unconfident up,unconfident down
416,416,confident down,confident down,unconfident down
417,417,confident up,unconfident down,unconfident down
418,418,confident down,unconfident up,unconfident up
419,419,unconfident up,unconfident down,unconfident up
420,420,unconfident up,unconfident up,confident down
421,421,unconfident up,unconfident down,unconfident down
422,422,unconfident down,confident up,unconfident down
423,423,confident up,confident up,confident up
424,424,confident up,unconfident up,confident up
425,425,unconfident down,unconfident down,confident up
426,426,unconfident up,unconfident down,unconfident down
427,427,confident down,confident down,unconfident up
428,428,unconfident up,confident up,unconfident up
429,429,unconfident up,unconfident up,confident up
430,430,confident down,unconfident up,unconfident up
431,431,unconfident up,confident up,unconfident up
432,432,confident up,confident up,confident up
433,433,unconfident up,confident down,unconfident down
434,434,unconfident up,confident down,unconfident down
435,435,unconfident down,unconfident down,unconfident down
436,436,confident down,unconfident down,unconfident up
437,437,confident up,confident up,confident up
438,438,unconfident down,unconfident up,unconfident up
439,439,confident down,confident up,confident down
440,440,unconfident up,unconfident up,confident up
441,441,confident up,unconfident up,unconfident up
442,442,confident up,confident up,unconfident up
443,443,confident up,unconfident down,unconfident up
444,444,unconfident up,unconfident up,unconfident up
445,445,confident up,confident up,confident up
446,446,confident up,unconfident up,unconfident down
447,447,unconfident down,unconfident down,unconfident down
448,448,confident up,confident up,unconfident down
449,449,confident up,unconfident up,confident up
450,450,confident up,unconfident up,confident up
451,451,confident up,confident up,confident up
452,452,confident up,unconfident up,unconfident up
453,453,confident up,unconfident down,unconfident up
454,454,unconfident up,confident up,unconfident up
455,455,confident up,unconfident down,unconfident up
456,456,confident up,confident up,unconfident up
457,457,confident up,unconfident up,confident up
458,458,unconfident down,unconfident up,unconfident up
459,459,unconfident up,unconfident down,unconfident up
460,460,confident up,confident up,unconfident up
461,461,confident up,unconfident up,confident down
462,462,unconfident up,unconfident up,unconfident up
463,463,unconfident up,unconfident up,unconfident up
464,464,confident up,unconfident down,confident up
465,465,unconfident up,unconfident up,confident up
466,466,unconfident down,unconfident down,unconfident down
467,467,unconfident up,confident up,confident up
468,468,unconfident down,unconfident up,confident up
469,469,unconfident down,unconfident up,unconfident up
470,470,confident up,confident up,unconfident up
471,471,unconfident down,unconfident up,confident up
472,472,unconfident down,unconfident down,unconfident down
473,473,confident down,unconfident down,unconfident down
474,474,confident up,unconfident up,unconfident up
475,475,confident down,confident up,confident up
476,476,confident down,unconfident down,unconfident up
477,477,confident up,confident up,unconfident down
478,478,confident up,confident up,confident up
479,479,unconfident down,confident down,unconfident up
480,480,confident up,confident up,confident up
481,481,unconfident up,confident up,confident up
482,482,unconfident down,confident up,confident up
483,483,unconfident down,unconfident down,confident up
484,484,confident up,confident up,confident up
485,485,confident up,unconfident up,unconfident up
486,486,unconfident down,unconfident up,confident up
487,487,confident down,unconfident up,unconfident down
488,488,unconfident down,confident up,unconfident up
489,489,unconfident down,unconfident down,unconfident down
490,490,unconfident down,unconfident down,confident up
491,491,unconfident up,confident up,confident up
492,492,confident up,unconfident up,unconfident up
493,493,confident up,confident up,unconfident down
494,494,confident up,confident up,unconfident up
495,495,unconfident down,unconfident up,unconfident up
496,496,confident down,unconfident down,confident up
497,497,unconfident down,unconfident up,unconfident down
498,498,confident up,unconfident up,unconfident up
499,499,confident up,confident up,confident up
500,500,confident up,unconfident up,confident up
501,501,confident up,confident up,unconfident down
502,502,unconfident down,confident down,unconfident down
503,503,unconfident down,unconfident down,unconfident down
504,504,unconfident down,unconfident down,confident down
505,505,confident down,unconfident down,confident down
506,506,unconfident up,unconfident up,confident up
507,507,unconfident up,confident up,confident up
508,508,confident up,unconfident up,unconfident up
509,509,confident up,confident up,unconfident up
510,510,unconfident up,confident up,confident up
511,511,confident down,unconfident up,unconfident up
512,512,confident up,unconfident down,confident up
513,513,unconfident up,unconfident up,confident up
514,514,confident up,unconfident up,unconfident up
515,515,confident down,unconfident down,unconfident down
516,516,unconfident down,unconfident up,confident up
517,517,confident up,confident up,confident up
518,518,confident up,confident up,unconfident down
519,519,unconfident down,confident up,unconfident down
520,520,unconfident down,unconfident down,unconfident down
521,521,unconfident down,unconfident down,confident down
522,522,confident up,unconfident up,confident up
523,523,confident up,confident up,unconfident up
524,524,unconfident down,unconfident up,confident down
525,525,unconfident up,unconfident up,unconfident down
526,526,unconfident up,confident up,unconfident up
527,527,confident up,confident up,confident up
528,528,confident up,unconfident down,unconfident up
529,529,unconfident down,confident down,unconfident down
530,530,confident up,unconfident up,confident up
531,531,confident up,confident up,confident up
532,532,confident up,unconfident up,unconfident down
533,533,unconfident down,unconfident down,unconfident down
534,534,confident up,confident up,confident up
535,535,confident up,unconfident up,unconfident down
536,536,confident up,confident up,confident up
537,537,confident up,confident up,confident up
538,538,unconfident up,unconfident up,confident up
539,539,unconfident up,unconfident up,unconfident down
540,540,unconfident down,confident up,unconfident up
541,541,unconfident down,unconfident down,unconfident down
542,542,confident up,unconfident up,unconfident up
543,543,unconfident down,confident down,confident down
544,544,unconfident down,confident up,confident up
545,545,confident up,unconfident up,confident up
546,546,unconfident up,confident up,confident up
547,547,confident up,confident up,unconfident up
548,548,unconfident down,unconfident down,confident down
549,549,unconfident down,confident up,unconfident down
550,550,unconfident up,confident up,unconfident down
551,551,confident up,unconfident up,unconfident down
552,552,confident up,unconfident up,confident up
553,553,unconfident up,unconfident up,unconfident down
554,554,confident up,confident down,confident up
555,555,unconfident down,unconfident up,unconfident up
556,556,confident up,confident up,unconfident up
557,557,unconfident up,unconfident up,unconfident down
558,558,confident up,unconfident up,unconfident down
559,559,confident up,unconfident up,unconfident down
560,560,unconfident down,unconfident up,unconfident up
561,561,unconfident down,confident down,unconfident down
562,562,confident up,confident up,unconfident down
563,563,confident down,unconfident down,confident down
564,564,confident up,unconfident down,confident up
565,565,unconfident up,unconfident down,unconfident down
566,566,confident down,unconfident down,unconfident down
567,567,confident down,confident down,confident down
568,568,unconfident up,unconfident down,unconfident up
569,569,unconfident up,unconfident up,confident up
570,570,unconfident up,unconfident down,unconfident down
571,571,unconfident down,confident up,confident up
572,572,unconfident down,unconfident down,confident down
573,573,unconfident down,unconfident up,unconfident up
574,574,confident up,unconfident up,confident up
575,575,confident up,confident up,confident up
576,576,unconfident down,unconfident up,unconfident up
577,577,confident up,confident up,confident up
578,578,unconfident down,unconfident down,"unconfident up 

"
579,579,unconfident up,unconfident up,unconfident up
580,580,confident up,confident up,confident up
581,581,unconfident up,unconfident up,confident up
582,582,unconfident up,unconfident up,unconfident down
583,583,confident up,confident up,confident up
584,584,confident up,unconfident up,unconfident up
585,585,confident down,unconfident up,confident down
586,586,unconfident down,unconfident down,unconfident down
587,587,confident down,unconfident down,confident down
588,588,confident up,unconfident up,confident up
589,589,unconfident up,confident up,unconfident up
590,590,unconfident down,unconfident up,confident down
591,591,unconfident down,unconfident down,confident down
592,592,confident up,unconfident down,unconfident up
593,593,confident up,unconfident down,unconfident up
594,594,unconfident down,unconfident up,unconfident up
595,595,confident up,confident up,confident up
596,596,unconfident up,confident down,confident up
597,597,unconfident down,unconfident up,unconfident down
598,598,confident up,unconfident up,unconfident up
599,599,confident up,unconfident up,confident up
600,600,confident up,confident up,unconfident up
601,601,confident up,confident up,unconfident up
602,602,unconfident up,confident up,unconfident up
603,603,unconfident up,unconfident down,confident up
604,604,unconfident down,unconfident down,unconfident up
605,605,unconfident up,confident up,unconfident down
606,606,unconfident down,unconfident down,confident down
607,607,confident up,unconfident down,unconfident down
608,608,confident up,confident up,confident up
609,609,unconfident down,unconfident up,unconfident down
610,610,unconfident up,unconfident up,unconfident up
611,611,unconfident up,unconfident up,confident up
612,612,unconfident down,unconfident up,unconfident down
613,613,confident up,confident up,unconfident up
614,614,confident up,confident up,confident up
615,615,unconfident up,confident up,unconfident down
616,616,unconfident up,unconfident up,unconfident up
617,617,confident down,unconfident down,confident down
618,618,unconfident up,confident down,confident up
619,619,unconfident up,unconfident up,confident up
620,620,confident up,unconfident up,confident up
621,621,unconfident up,unconfident up,confident down
622,622,confident up,unconfident up,confident up
623,623,confident up,confident up,unconfident up
624,624,confident up,confident up,confident up
625,625,unconfident down,unconfident down,unconfident down
626,626,unconfident up,unconfident down,unconfident down
627,627,confident up,confident up,confident up
628,628,confident up,confident down,confident up
629,629,confident down,"unconfident up 

",confident up
630,630,unconfident up,unconfident up,unconfident up
631,631,confident down,confident up,unconfident down
632,632,confident up,confident up,confident up
633,633,unconfident up,unconfident down,unconfident up
634,634,unconfident up,confident down,confident up
635,635,confident up,unconfident up,confident up
636,636,unconfident up,unconfident down,unconfident down
637,637,unconfident up,unconfident down,unconfident down
638,638,confident up,confident up,confident up
639,639,unconfident down,unconfident down,unconfident down
640,640,confident up,unconfident down,confident down
641,641,confident up,unconfident up,unconfident up
642,642,confident up,unconfident down,confident up
643,643,unconfident down,unconfident up,unconfident up
644,644,unconfident down,confident up,confident up
645,645,unconfident down,unconfident down,confident up
646,646,confident up,confident up,unconfident down
647,647,unconfident up,unconfident up,unconfident up
648,648,unconfident down,confident up,confident up
649,649,unconfident down,unconfident down,confident up
650,650,confident down,confident up,unconfident down
651,651,unconfident up,unconfident up,confident up
652,652,unconfident down,unconfident down,unconfident up
653,653,confident up,unconfident down,confident up
654,654,confident up,confident down,confident up
655,655,confident down,unconfident up,confident up
656,656,unconfident up,unconfident up,unconfident up
657,657,confident up,confident down,confident up
658,658,unconfident up,confident up,unconfident up
659,659,confident up,confident up,confident up
660,660,unconfident up,confident up,confident up
661,661,unconfident down,unconfident up,unconfident down
662,662,unconfident up,unconfident down,unconfident down
663,663,unconfident down,unconfident down,unconfident down
664,664,confident up,unconfident down,confident up
665,665,unconfident up,unconfident up,confident up
666,666,confident up,confident up,confident up
667,667,unconfident up,confident down,unconfident down
668,668,unconfident up,unconfident down,confident down
669,669,unconfident up,confident up,unconfident up
670,670,confident up,confident up,unconfident up
671,671,confident up,confident up,unconfident up
672,672,confident up,unconfident down,confident up
673,673,unconfident down,unconfident down,unconfident down
674,674,unconfident down,confident up,unconfident up
675,675,unconfident down,confident up,unconfident up
676,676,unconfident up,unconfident down,unconfident down
677,677,confident up,confident up,confident up
678,678,unconfident down,unconfident down,confident down
679,679,unconfident up,unconfident up,confident up
680,680,unconfident up,unconfident down,confident up
681,681,confident up,unconfident down,confident up
682,682,unconfident down,unconfident up,unconfident down
683,683,confident up,confident up,confident up
684,684,unconfident up,confident up,confident up
685,685,unconfident up,unconfident up,unconfident down
686,686,confident up,unconfident down,confident up
687,687,confident up,confident down,unconfident down
688,688,confident down,unconfident down,confident up
689,689,unconfident up,unconfident down,unconfident up
690,690,"unconfident up 

",unconfident up,unconfident down
691,691,confident up,confident up,unconfident up
692,692,unconfident up,unconfident up,unconfident up
693,693,confident up,confident up,unconfident up
694,694,unconfident up,unconfident up,unconfident up
695,695,confident down,unconfident down,unconfident down
696,696,confident up,confident down,unconfident down
697,697,unconfident down,confident up,unconfident up
698,698,unconfident down,unconfident up,confident down
699,699,unconfident down,confident up,confident up
700,700,unconfident up,unconfident up,unconfident up
701,701,unconfident down,confident down,unconfident up
702,702,confident up,unconfident down,unconfident up
703,703,unconfident up,unconfident up,unconfident up
704,704,confident up,unconfident up,confident up
705,705,unconfident up,confident up,unconfident down
706,706,confident down,unconfident up,unconfident down
707,707,confident up,unconfident up,confident up
708,708,confident up,confident up,confident up
709,709,unconfident up,unconfident up,unconfident up
710,710,unconfident up,confident up,confident up
711,711,confident up,unconfident down,unconfident down
712,712,confident up,confident up,confident up
713,713,unconfident up,unconfident down,unconfident up
714,714,confident up,confident up,unconfident down
715,715,confident up,confident up,unconfident up
716,716,unconfident down,confident up,confident up
717,717,unconfident down,unconfident up,confident up
718,718,confident down,unconfident down,confident up
719,719,confident down,unconfident up,unconfident up
720,720,confident up,confident up,unconfident down
